location,latitude,longitude
Henan,34.2904,113.3824
Shanxi,37.2426,111.8569
Jiangsu,33.1402,119.7889
Guangdong,23.3790,113.7633
Jiangxi,27.0875,114.9042
Anhui,30.6007,117.9249
Shandong,35.8940,117.9249
Liaoning,41.9437,122.5290
Hebei,37.8957,114.9042
Sichuan,30.2638,102.8055
Chongqing,29.4316,106.9123
Shaanxi,35.3940,109.1880
Hubei,30.7378,112.2384
Heilongjiang,47.1216,128.7382
Guangxi,23.7248,108.8076
Fujian,26.4837,117.9249
Guizhou,26.8430,107.2903
Hunan,27.6253,111.8569
Beijing,39.9042,116.4074
Jilin,43.8379,126.5496
Zhejiang,29.1416,119.7889
Shanghai,31.2304,121.4737
Gansu,35.7518,104.2861
InnerMongolia,43.3782,115.0595
Yunnan,24.4753,101.3431
Xinjiang,42.5246,87.5396