location,temperature,vapor pressure,precipitation                                               ,human population size,human population density,GDP,slaughtered pigs,pork price,live pig price,pork consumption,total consumption,feed price,feed production,maximum elevation,mean elevation,sample size,area,density
Anhui,16.28508,15.054423,98.974441006,6121.35432098765,2443.21,22950.63,2890.21,24.42,15.15,19.1,1190.9,2.9,115.591897183485,1873,118.891435,45,139400,0.000322812051649928
Beijing,11.167604,9.030208,40.1234377708333,2125.76419753086,1362.61,23455.25,280.17,23.24,15.08,14.075,304.9,2.9,40.1837190993354,2303,368.267222,6,16411,0.000365608433367863
Chongqing,16.2017744151667,14.8928228175,98.33470618175,2994.636,1604.6,15446.957,2001.611,23.66562,15.07,35,1071.7,3.124,96.092325,2685,733.631932,3,82400,0.0000364077669902913
Fujian,18.923648,17.957204,142.046224605167,3824.97530864198,2637.27,26597.86,1835.67,23.01,15.27,26.575,1034.6,2.9,327.267683125,2158,481.693172,35,123900,0.000282485875706215
Gansu,6.095417,5.148484,23.7403868644167,2597.93185185185,3890.26,6623.18,678.2,25.56,16.08,12.55,328.6,3.4,32.1592375,5798,2091.182434,6,425800,0.0000140911225927666
Guangdong,21.404914,20.77546,158.058020321333,10848.6535802469,3003.56,73756.49,3703.62,23.73,15.56,30.475,3382.7,3.2,960.19789595263,1902,217.377336,119,179700,0.000662214802448525
Guangxi,20.473373,19.730657,123.354158937333,4778.51851851852,1723.4,15895.76,3362.19,23.83,14.62,28.45,1383.6,3.3,503.472395707195,2141,394.554099,16,237600,0.0000673400673400673
Guizhou,15.602872,14.588744,98.2273221920833,3527.86790123457,2798.14,10245.21,1782.29,26.3,16.15,28.625,1020.7,3.5,30.3114107991637,2900,1109.411196,10,176200,0.0000567536889897843
Hebei,9.939386,8.450779,41.4896279760833,7399.28148148148,2593.37,29284.11,3491.74,23.54,14.88,13.15,985.8,2.8,226.787988620626,2882,553.504428,20,188800,0.000105932203389831
Heilongjiang,1.514566,7.247737,48.0833225794166,3813.80308641975,5227.37,13896.81,1834.28,22.46,14.47,15.5,587.7,2.9,103.23815,1690,316.065564,28,454800,0.0000615655233069481
Henan,15.082995,12.585078,61.15261832025,9476.60086419753,5042.49,37297.41,5952.01,23.99,14.8,11.475,1095.4,2.9,484.612547619226,2414,247.178168,91,167000,0.000544910179640719
Hubei,16.041028,14.498082,91.5558691495,5837.07296296296,2367.75,29556.53,4234.38,25.18,15,21.7,1277.9,3,234.320274044845,3105,431.719087,58,185900,0.000311995696611081
Hunan,17.054688,16.755544,118.115105890833,6751.05679012346,3276.63,27995.91,5934.32,25.13,15.34,26.975,1846,3.2,646.415513548851,2099,357.390302,14,211800,0.0000661000944287063
InnerMongolia,4.242303,5.956,25.7100456185,2508.05407407407,1360.94,16200.83,916.01,24.05,15.45,17.6,444.2,3.7,20.210902625,3556,998.631503,4,1183000,0.00000338123415046492
Jiangsu,15.602188,14.730583,84.8704800774167,7970.47703703704,2050.61,69564.92,2911.5,23.93,14.28,19.85,1590.9,2.9,220.976187108532,625,11.25378,60,102600,0.000584795321637427
Jiangxi,18.359511,17.229643,140.635134641083,4559.32530864198,4686.87,16693.09,3100.97,24.75,15.37,21.65,997.9,3.1,436.664345169589,2158,247.647237,32,166900,0.000191731575793889
Jilin,4.904059,8.062696,54.10854000425,2738.94444444444,2504.77,12479.03,1610.67,23.23,14.79,15.925,434,2.9,67.3812246014938,2744,405.324753,15,187400,0.000080042689434365
Liaoning,8.189974,9.154074,54.9971304643334,4380.11111111111,1672.82,24411.54,2677.33,24.3,14.83,18.475,807.7,3,188.616968534131,1336,235.10379,19,148400,0.000128032345013477
Shaanxi,11.218405,8.871748,52.2456311204167,3791.8049382716,4960.8,18004.02,1151.27,24.12,14.86,10.6,405.7,3.1,117.1914125,3767,1127.829338,3,205800,0.0000145772594752187
Shandong,14.015404,11.997688,55.745700092,9833.42432098765,1449.31,59057.93,4738.79,24.63,14.69,13.65,1360.4,2.9,478.235657870094,1545,91.073653,46,157100,0.000292807129217059
Shanghai,16.932084,16.3275,74.3479632357222,2404.47604938272,3775.86,26003.15,221.02,27.04,15.54,20.675,500.2,3.3,34.7904162267068,103,3.979888,10,6340.5,0.00157716268433089
Shanxi,9.301116,6.867641,42.1108851583333,3654.98777777778,3465.62,13230.81,763.72,23.82,14.91,9.675,357.3,3,53.1099295202071,3058,1161.105515,24,156700,0.0001531589023612
Sichuan,9.241329,7.956523,69.1752578149167,8183.56691358025,2799.16,30649.95,7054.44,25.07,15.35,35.75,2959.9,3.4,493.946544125,7556,2588.90326,72,486100,0.000148117671261057
Xinjiang,6.537128,4.810119,11.3277994851667,2334.87530864198,3607.47,9353.31,424.23,25.56,15.6,3.9,94.4,3.1,22.8548500450428,8611,1904.411718,1,1664900,0.000000600636674875368
Yunnan,15.74087,12.691059,90.6363276041667,4727.64938271605,3206.94,13996.2,3378,25.43,15.27,26.625,1274.4,3.5,82.0471189582041,6740,1888.60402,7,394100,0.0000177619893428064
Zhejiang,16.784884,16.301158,134.50280317,5557.24086419753,1907.18,43489.68,1536.1,25.34,15.42,22.25,1253.4,3,213.672142282417,1921,304.760877,25,101800,0.000245579567779961